year,sector,trq_value,total_value,trq_share
2009,Chemicals & Allied Industries,72538.78614801865,587191519.3754597,0.00012353513931054612
2009,Foodstuffs,5784993.465133192,191104682.81771234,0.03027133286237304
2009,Footwear / Headgear,24958.298181818183,38838179.62301885,0.0006426227599767766
2009,Machinery / Electrical,35553.138333333336,1092126916.6830866,3.255403542411742e-05
2009,Metals,129048.85465400363,543511233.5268527,0.00023743548742608987
2009,Mineral Products,1699.1307692307691,87549804.12061106,1.9407590757027843e-05
2009,Miscellaneous,28417.133636363636,307039170.9152296,9.25521442481009e-05
2009,Plastics / Rubbers,130720.58448717948,429204435.34631926,0.00030456485003866
2009,"Raw Hides, Skins, Leather, & Furs",17667.920075757575,28612680.538039844,0.0006174856652199543
2009,Stone / Glass,387911.14075757575,152019400.33235568,0.0025517212928711512
2009,Textiles,100355.35,311700824.06990796,0.00032196048983653764
2009,Transportation,25316.420714285716,232918202.89723167,0.00010869232374017519
2009,Unknown,52.0,348.0,0.14942528735632185
2009,Vegetable Products,177960.90893939394,60479648.94995541,0.002942492425619893
2009,Wood & Wood Products,19364.32318181818,286784468.4826652,6.75222172395597e-05
2010,Chemicals & Allied Industries,75988.47708624709,4334682.602705295,0.017530343983853013
2010,Foodstuffs,605111.9535023423,3117919.3784291334,0.19407556131461268
2010,Footwear / Headgear,26362.28090909091,321210.09376623377,0.08207176991230082
2010,Machinery / Electrical,56114.66166666667,4258194.923204908,0.013178039680821436
2010,Metals,107829.66678220876,3494004.485353421,0.030861341831191644
2010,Mineral Products,4672.167692307692,540052.3626923077,0.008651323492069672
2010,Miscellaneous,57881.41818181818,2086795.4860389607,0.027736986479535413
2010,Plastics / Rubbers,78188.24320512821,1507140.3981098898,0.051878539851485876
2010,"Raw Hides, Skins, Leather, & Furs",18270.69287878788,445869.1671645008,0.04097769979247525
2010,Stone / Glass,47820.31378787879,1266740.654740253,0.037750674227539034
2010,Textiles,119725.93,4289361.207777796,0.027912298405390487
2010,Transportation,41260.38452380286,1047045.4085714183,0.03940649009683186
2010,Unknown,52.0,122.0,0.4262295081967213
2010,Vegetable Products,65306.82,1310338.3333333333,0.04983966227551918
2010,Wood & Wood Products,35350.69757575758,1540096.8185281386,0.022953555354748433
2011,Chemicals & Allied Industries,1553305.3621911423,2284504393.9962387,0.0006799310022223139
2011,Foodstuffs,18192397.836582217,327855711.6752502,0.0554890373683722
2011,Footwear / Headgear,81440.37363636364,7700807.415779221,0.010575562955838825
2011,Machinery / Electrical,1137078.505,3009534395.747096,0.0003778253894047049
2011,Metals,1073785.1052437471,522642241.793961,0.0020545317989567723
2011,Mineral Products,268789.3746153846,2601609867.306282,0.00010331655717991656
2011,Miscellaneous,648375.7727272727,697999416.7526479,0.0009289058947122867
2011,Plastics / Rubbers,2769292.0919230767,813829054.3157961,0.0034027933473710654
2011,"Raw Hides, Skins, Leather, & Furs",107724.67568181817,3449079.767507216,0.031232874547194072
2011,Stone / Glass,1313905.665151515,75208167.61419913,0.017470252325406378
2011,Textiles,136373825.44000003,289022573.8777778,0.47184489297943194
2011,Transportation,176292.13166666,2009219313.1454086,8.774160715719817e-05
2011,Unknown,52.0,122.0,0.4262295081967213
2011,Vegetable Products,262390254.46772727,630652914.4727273,0.4160612730809387
2011,Wood & Wood Products,416358.7853030303,285479739.087684,0.0014584530118795832
2012,Chemicals & Allied Industries,22229781.85579006,724635097.8741966,0.03067720832320125
2012,Foodstuffs,242241095.52812755,2542851053.3955226,0.09526358030473625
2012,Footwear / Headgear,193500.12517677082,1059517.9227683952,0.1826303463288076
2012,Machinery / Electrical,37891.645,92697963.38431647,0.00040876459003640704
2012,Metals,66672.55870528567,1734728274.8851113,3.843400702608672e-05
2012,Mineral Products,3467.6115384615387,47909718775.233,7.237803992817686e-08
2012,Miscellaneous,53901.067272727276,154083140.69509697,0.0003498180724352437
2012,Plastics / Rubbers,439918027.29486126,494876963.9254258,0.8889442414239219
2012,"Raw Hides, Skins, Leather, & Furs",22938.648484848483,15147930.941089053,0.0015143090217441485
2012,Stone / Glass,2047908.9289517556,236960354.05500737,0.008642411668900356
2012,Textiles,124633.30666666667,206354158.03094193,0.0006039776850436831
2012,Transportation,22008.99166666,44417594.468228005,0.000495501657173332
2012,Unknown,112.0,182.0,0.6153846153846154
2012,Vegetable Products,68775004.26758824,1453787100.8590198,0.04730748004776641
2012,Wood & Wood Products,21495.351363636364,772383948.4364856,2.782987840069538e-05
2013,Chemicals & Allied Industries,19132600.32055671,627766392.7964264,0.0304772611915864
2013,Foodstuffs,214907302.91478807,2202780275.15538,0.0975618427941611
2013,Footwear / Headgear,97035.15446203087,709910.115651336,0.1366865358341908
2013,Machinery / Electrical,14879.415,69643786.87280692,0.00021365028623694513
2013,Metals,43447.569395531136,1438000174.5634277,3.0213883255418715e-05
2013,Mineral Products,1041.7884615384617,43683892789.05419,2.384834306249147e-08
2013,Miscellaneous,33813.461818181815,118468670.31545758,0.0002854211305667866
2013,Plastics / Rubbers,417748329.5427899,469921233.30372673,0.8889752152841843
2013,"Raw Hides, Skins, Leather, & Furs",15081.247121212122,13027485.496819941,0.001157648352392602
2013,Stone / Glass,1710405.256468894,216841756.62726212,0.007887803913196375
2013,Textiles,56054.81333333333,154698419.96424797,0.00036234897128418017
2013,Transportation,16325.55166666,51839198.54617563,0.0003149267759631364
2013,Unknown,52.0,122.0,0.4262295081967213
2013,Vegetable Products,71757328.5340324,1397303992.8290944,0.05135412830872023
2013,Wood & Wood Products,12181.130281391424,515530663.1534068,2.362833319531699e-05
2014,Chemicals & Allied Industries,17211855.9966568,586365808.5933203,0.02935344412039934
2014,Foodstuffs,215326149.60919055,2246753179.5303626,0.09583880934095308
2014,Footwear / Headgear,43005.81707609866,928717.6440549557,0.046306665272694926
2014,Machinery / Electrical,10144.095,65537117.86512938,0.00015478396564334442
2014,Metals,117449.75619040293,1798368996.1351395,6.530904193900878e-05
2014,Mineral Products,835.9653846153847,40784394375.09886,2.0497187647974198e-08
2014,Miscellaneous,30052.546363636364,144580778.90297467,0.00020785990082266772
2014,Plastics / Rubbers,379946657.172862,447623492.0517555,0.8488085722027554
2014,"Raw Hides, Skins, Leather, & Furs",13734.415757575758,13533715.557281401,0.0010148296452252815
2014,Stone / Glass,2266560.2387110163,266736386.70705858,0.008497379254073237
2014,Textiles,71583.32,168662812.10535026,0.0004244167348240796
2014,Transportation,15033.18166666,51882496.98422424,0.0002897543977351571
2014,Unknown,52.0,122.0,0.4262295081967213
2014,Vegetable Products,41747318.101433896,975769896.0350745,0.04278397834476057
2014,Wood & Wood Products,10112.689199125485,493257406.97737074,2.0501849655122212e-05
2015,Chemicals & Allied Industries,40897.15570596071,386342.32758114464,0.10585730008413576
2015,Foodstuffs,297739.1691991407,938622.8873917343,0.31720851174480175
2015,Footwear / Headgear,16575.754545454547,60522.30565735455,0.27387843812986484
2015,Machinery / Electrical,8615.15,329516.5981416195,0.02614481348917478
2015,Metals,34420.69261535606,322727.3932535543,0.10665562742705596
2015,Mineral Products,740.6673076923078,27192.240337958974,0.027238186279869486
2015,Miscellaneous,32396.42090909091,260094.55621189557,0.12455632052021103
2015,Plastics / Rubbers,62438.713461538464,288650.21644112567,0.2163127200504758
2015,"Raw Hides, Skins, Leather, & Furs",11469.072727272727,49433.07328279673,0.23201213207320642
2015,Stone / Glass,59901.36893939394,269178.0571218006,0.22253436843958319
2015,Textiles,31254.696666666667,469577.32436336944,0.06655921196586802
2015,Transportation,14543.058095231429,331655.57555051555,0.04384988273178096
2015,Unknown,52.0,122.0,0.4262295081967213
2015,Vegetable Products,193835.72458874458,495711.6993548279,0.3910251156892667
2015,Wood & Wood Products,8538.958116882546,120549.95424054388,0.07083335842537124
